Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Luis Severino\severlu01,24,19,8,0.704,3.39,32,32,0,1,1,0,191.1,173,76,72,19,46,0,220,5,0,8,780,129,2.95,1.145,8.1,0.9,2.2,10.3,4.78
2,SP,Masahiro Tanaka\tanakma01,29,12,6,0.667,3.75,27,27,0,1,1,0,156,141,68,65,25,35,0,159,7,0,3,635,116,4.01,1.128,8.1,1.4,2,9.2,4.54
3,SP,CC Sabathia\sabatcc01,37,9,7,0.563,3.65,29,29,0,0,0,0,153,150,72,62,19,51,0,140,11,0,3,665,120,4.16,1.314,8.8,1.1,3,8.2,2.75
4,SP,Sonny Gray\grayso01,28,11,9,0.55,4.9,30,23,2,0,0,0,130.1,138,73,71,14,57,0,123,8,1,9,582,89,4.17,1.496,9.5,1,3.9,8.5,2.16
5,SP,Domingo German\germado01,25,2,6,0.25,5.57,21,14,2,0,0,0,85.2,81,55,53,15,33,0,102,5,1,7,375,79,4.39,1.331,8.5,1.6,3.5,10.7,3.09
6,SP,J.A. Happ\happja01,35,7,0,1,2.69,11,11,0,0,0,0,63.2,51,20,19,10,16,0,63,5,1,3,258,163,4.21,1.052,7.2,1.4,2.3,8.9,3.94
7,CL,Aroldis Chapman\chapmar01,30,3,0,1,2.45,55,0,43,0,0,32,51.1,24,15,14,2,30,0,93,5,0,9,212,179,2.09,1.052,4.2,0.4,5.3,16.3,3.1
8,RP,Chad Green\greench03,27,8,3,0.727,2.5,63,0,3,0,0,0,75.2,64,22,21,9,15,2,94,1,0,3,298,175,2.86,1.044,7.6,1.1,1.8,11.2,6.27
9,RP,David Robertson\roberda08,33,8,3,0.727,3.23,69,0,11,0,0,5,69.2,46,30,25,7,26,1,91,0,0,1,283,136,2.97,1.033,5.9,0.9,3.4,11.8,3.5
10,RP,Dellin Betances\betande01,30,4,6,0.4,2.7,66,0,15,0,0,4,66.2,44,22,20,7,26,2,115,5,1,4,272,162,2.47,1.05,5.9,0.9,3.5,15.5,4.42
11,RP,Jonathan Holder\holdejo02,25,1,3,0.25,3.14,60,1,14,0,0,0,66,53,27,23,4,19,3,60,1,0,1,272,140,3.04,1.091,7.2,0.5,2.6,8.2,3.16
12,,Lance Lynn\lynnla01,31,3,2,0.6,4.14,11,9,0,0,0,0,54.1,58,26,25,2,14,0,61,0,0,2,231,106,2.17,1.325,9.6,0.3,2.3,10.1,4.36
13,,Luis Cessa\cessalu01,26,1,4,0.2,5.24,16,5,6,0,0,2,44.2,51,27,26,5,13,0,39,0,0,7,195,84,3.74,1.433,10.3,1,2.6,7.9,3
14,,A.J. Cole\coleaj01,26,3,1,0.75,4.26,28,0,13,0,0,0,38,39,23,18,9,16,1,49,0,0,2,168,103,4.92,1.447,9.2,2.1,3.8,11.6,3.06
15,,Chasen Shreve\shrevch01,27,2,2,0.5,4.26,40,0,17,0,0,1,38,39,23,18,8,18,0,46,1,0,2,170,103,4.98,1.5,9.2,1.9,4.3,10.9,2.56
16,,Adam Warren\warread01,30,0,1,0,2.7,24,0,6,0,0,0,30,26,9,9,3,12,0,37,1,0,1,128,163,3.29,1.267,7.8,0.9,3.6,11.1,3.08
17,,Jordan Montgomery\montgjo01,25,2,0,1,3.62,6,6,0,0,0,0,27.1,25,11,11,3,12,0,23,0,0,0,116,122,4.22,1.354,8.2,1,4,7.6,1.92
18,,Zach Britton\brittza01,30,1,0,1,2.88,25,0,10,0,0,3,25,18,10,8,2,11,0,21,2,0,5,106,153,4.08,1.16,6.5,0.7,4,7.6,1.91
19,,Jonathan Loaisiga\loaisjo01,23,2,0,1,5.11,9,4,2,0,0,0,24.2,26,17,14,3,12,0,33,0,0,0,108,86,3.52,1.541,9.5,1.1,4.4,12,2.75
20,,Tommy Kahnle\kahnlto01,28,2,0,1,6.56,24,0,7,0,0,1,23.1,23,22,17,3,15,0,30,0,0,2,107,67,4.19,1.629,8.9,1.2,5.8,11.6,2
21,,David Hale\haleda02,30,0,0,,2.53,3,0,1,0,0,0,10.2,12,3,3,2,1,0,6,1,0,0,46,178,5.04,1.219,10.1,1.7,0.8,5.1,6
22,,Giovanny Gallegos\gallegi01,26,0,0,,4.5,4,0,2,0,0,1,10,10,5,5,2,3,0,10,0,0,0,40,100,4.66,1.3,9,1.8,2.7,9,3.33
23,,Stephen Tarpley\tarplst01,25,0,0,,3,10,0,3,0,0,0,9,6,3,3,0,6,0,13,0,0,0,40,151,2.27,1.333,6,0,6,13,2.17
24,,Chance Adams\adamsch01,23,0,1,0,7.04,3,1,1,0,0,0,7.2,8,7,6,3,4,0,4,0,0,0,34,65,8.77,1.565,9.4,3.5,4.7,4.7,1
25,,Justus Sheffield\sheffju01,22,0,0,,10.13,3,0,2,0,0,0,2.2,4,3,3,1,3,0,0,0,0,1,14,49,11.41,2.625,13.5,3.4,10.1,0,0
26,,George Kontos\kontoge01,33,0,0,,0,1,0,0,0,0,0,1.2,1,0,0,0,0,0,2,0,0,0,6,,0.76,0.6,5.4,0,0,10.8,
